name,color,deviceType,unit,circuit,savedIndex,,
Unit 18.13 Circle 6-1 Blue,16711680,LOR,24,13,381,,
Unit 18.14 Circle 6-2 Blue,16711680,LOR,24,14,382,,
Unit 18.15 Circle 6-3 Blue,16711680,LOR,24,15,383,,
Unit 18.16 Circle 6-4 Blue,16711680,LOR,24,16,384,,
Unit 19.01 Circle 6-5 Blue,16711680,LOR,25,1,385,,
Unit 19.02 Circle 6-6 Blue,16711680,LOR,25,2,386,,
Unit 19.03 Circle 6-7 Blue,16711680,LOR,25,3,387,,
Unit 19.04 Circle 6-8 Blue,16711680,LOR,25,4,388,,
Unit 19.05     Conn 6-1 Blue,16711680,LOR,25,5,389,,
Unit 19.06     Conn 6-2 Bl/Gr,4227072,LOR,25,6,390,,
Unit 19.07     Conn 6-3 Green,65280,LOR,25,7,391,,
Unit 19.08 Circle 7-1 Green,65280,LOR,25,8,392,,
Unit 19.09 Circle 7-2 Green,65280,LOR,25,9,393,,
Unit 19.10 Circle 7-3 Green,65280,LOR,25,10,394,,
Unit 19.11 Circle 7-4 Green,65280,LOR,25,11,395,,
Unit 19.12 Circle 7-5 Green,65280,LOR,25,12,396,,
Unit 19.13 Circle 7-6 Green,65280,LOR,25,13,397,,
Unit 19.14 Circle 7-7 Green,65280,LOR,25,14,398,,
Unit 19.15 Circle 7-8 Green,65280,LOR,25,15,399,,
Unit 19.16     Conn 7-1 Green,65280,LOR,25,16,400,,
Unit 1A.01     Conn 7-2 Gr/Red,16512,LOR,26,1,401,,
Unit 1A.02     Conn 7-3 Red,255,LOR,26,2,402,,
Unit 1A.03 Circle 8-1 Red,255,LOR,26,3,403,,
Unit 1A.04 Circle 8-2 Red,255,LOR,26,4,404,,
Unit 1A.05 Circle 8-3 Red,255,LOR,26,5,405,,
Unit 1A.06 Circle 8-4 Red,255,LOR,26,6,406,,
Unit 1A.07 Circle 8-5 Red,255,LOR,26,7,407,,
Unit 1A.08 Circle 8-6 Red,255,LOR,26,8,408,,
Unit 1A.09 Circle 8-7 Red,255,LOR,26,9,409,,
Unit 1A.10 Circle 8-8 Red,255,LOR,26,10,410,,
Unit 1A.11,12632256,LOR,26,11,411,,
"Unit 1A.12 Circle Strobes 200, Colored",33023,LOR,26,12,412,,
Unit 1A.13,12632256,LOR,26,13,413,,
Unit 1A.14,9408399,LOR,26,14,414,,
Unit 1A.15 Circle Strobes 75 Curtain+25 LED,16777215,LOR,26,15,415,,
Unit 1A.16 750watt Strobe  4.9a,16777215,LOR,26,16,416,,
Unit 1B.01 Rectangle White Strobes,15790320,LOR,27,1,417,,
Unit 1B.02 Rectangle Red Strobes,255,LOR,27,2,418,,
Unit 1B.03 Rectangle Green Strobes,65280,LOR,27,3,419,,
Unit 1B.04 Rectangle Blue Strobes,16711680,LOR,27,4,420,,
Unit 1B.05 Rect 1-1 White,16777215,LOR,27,5,421,,
Unit 1B.06 Rect 1-2 White,16777215,LOR,27,6,422,,
Unit 1B.07 Rect 1-3 White,16777215,LOR,27,7,423,,
Unit 1B.08 Rect 1-4 White,16777215,LOR,27,8,424,,
Unit 1B.09 Rect 1-5 White,16777215,LOR,27,9,425,,
Unit 1B.10 Rect 1-6 White,16777215,LOR,27,10,426,,
Unit 1B.11 Rect 1-7 White,16777215,LOR,27,11,427,,
Unit 1B.12 Rect 1-8 White,16777215,LOR,27,12,428,,
Unit 1B.13 Rect 2-1 Red,255,LOR,27,13,429,,
Unit 1B.14 Rect 2-2 Red,255,LOR,27,14,430,,
Unit 1B.15 Rect 2-3 Red,255,LOR,27,15,431,,
Unit 1B.16 Rect 2-4 Red,255,LOR,27,16,432,,
Unit 1C.01 Rect 2-5 Red,255,LOR,28,1,433,,
Unit 1C.02 Rect 2-6 Red,255,LOR,28,2,434,,
Unit 1C.03 Rect 2-7 Red,255,LOR,28,3,435,,
Unit 1C.04 Rect 2-8 Red,255,LOR,28,4,436,,
Unit 1C.05 Rect 3-1 Green,65280,LOR,28,5,437,,
Unit 1C.06 Rect 3-2 Green,65280,LOR,28,6,438,,
Unit 1C.07 Rect 3-3 Green,65280,LOR,28,7,439,,
Unit 1C.08 Rect 3-4 Green,65280,LOR,28,8,440,,
Unit 1C.09 Rect 3-5 Green,65280,LOR,28,9,441,,
Unit 1C.10 Rect 3-6 Green,65280,LOR,28,10,442,,
Unit 1C.11 Rect 3-7 Green,65280,LOR,28,11,443,,
Unit 1C.12 Rect 3-8 Green,65280,LOR,28,12,444,,
Unit 1C.13 Rect 4-1 Blue,16711680,LOR,28,13,445,,
Unit 1C.14 Rect 4-2 Blue,16711680,LOR,28,14,446,,
Unit 1C.15 Rect 4-3 Blue,16711680,LOR,28,15,447,,
Unit 1C.16 Rect 4-4 Blue,16711680,LOR,28,16,448,,
Unit 1D.01 Rect 4-5 Blue,16711680,LOR,29,1,449,,
Unit 1D.02 Rect 4-6 Blue,16711680,LOR,29,2,450,,
Unit 1D.03 Rect 4-7 Blue,16711680,LOR,29,3,451,,
Unit 1D.04 Rect 4-8 Blue,16711680,LOR,29,4,452,,
Unit 1D.05 Rect 5-1 White,16777215,LOR,29,5,453,,
Unit 1D.06 Rect 5-2 White,16777215,LOR,29,6,454,,
Unit 1D.07 Rect 5-3 White,16777215,LOR,29,7,455,,
Unit 1D.08 Rect 5-4 White,16777215,LOR,29,8,456,,
Unit 1D.09 Rect 5-5 White,16777215,LOR,29,9,457,,
Unit 1D.10 Rect 5-6 White,16777215,LOR,29,10,458,,
Unit 1D.11 Rect 5-7 White,16777215,LOR,29,11,459,,
Unit 1D.12 Rect 5-8 White,16777215,LOR,29,12,460,,
Unit 1D.13 Circles Green,32768,LOR,29,13,461,,
Unit 1D.14 Circles White,16777215,LOR,29,14,462,,
Unit 1D.15 Circles Blue,16711680,LOR,29,15,463,,
Unit 1D.16 Circles Red,255,LOR,29,16,464,,
Unit 1E.01 Square 1 White,16777215,LOR,30,1,465,,
Unit 1E.02 Square 2 White,16777215,LOR,30,2,466,,
Unit 1E.03 Square 3 White,16777215,LOR,30,3,467,,
Unit 1E.04 Square 4 White,16777215,LOR,30,4,468,,
Unit 1E.05 Square 1 Red,255,LOR,30,5,469,,
Unit 1E.06 Square 2 Red,255,LOR,30,6,470,,
Unit 1E.07 Square 3 Red,255,LOR,30,7,471,,
Unit 1E.08 Square 4 Red,255,LOR,30,8,472,,
Unit 1E.09 Square 1 Blue,16711680,LOR,30,9,473,,
Unit 1E.10 Square 2 Blue,16711680,LOR,30,10,474,,
Unit 1E.11 Square 3 Blue,16711680,LOR,30,11,475,,
Unit 1E.12 Square 4 Blue,16711680,LOR,30,12,476,,
1E.13 Square 1 Green,32768,LOR,30,13,477,,
1E.14 Square 2 Green,32768,LOR,30,14,478,,
1E.15 Square 3 Green,32768,LOR,30,15,479,,
Unit 1E.16 100  Strobes Square,16777215,LOR,30,16,480,,
Unit 1F.01 Square 5 White,16777215,LOR,31,1,481,,
Unit 1F.02 Square 6 White,16777215,LOR,31,2,482,,
Unit 1F.03 Square 7 White,16777215,LOR,31,3,483,,
Unit 1F.04 Square 8 White,16777215,LOR,31,4,484,,
Unit 1F.05 Square 5 Red,255,LOR,31,5,485,,
Unit 1F.06 Square 6 Red,255,LOR,31,6,486,,
Unit 1F.07 Square 7 Red,255,LOR,31,7,487,,
Unit 1F.08 Square 8 Red,255,LOR,31,8,488,,
Unit 1F.09 Square 5 Blue,16711680,LOR,31,9,489,,
Unit 1F.10 Square 6 Blue,16711680,LOR,31,10,490,,
Unit 1F.11 Square 7 Blue,16711680,LOR,31,11,491,,
1F.12 Square 4 Green,32768,LOR,31,12,492,,
1F.13 Square 5 Green,32768,LOR,31,13,493,,
1F.14 Square 6 Green,32768,LOR,31,14,494,,
1F.15 Square 7 Green,32768,LOR,31,15,495,,
Unit 1F.16 BLUE East Area Tree  1.2a  BLUE,16711680,LOR,31,16,496,,
Unit 20.01 Square 9 White,16777215,LOR,32,1,497,,
Unit 20.02 Square 10 White,16777215,LOR,32,2,498,,
Unit 20.03 Square 11 White,16777215,LOR,32,3,499,,
Unit 20.04 Square 12 White,16777215,LOR,32,4,500,,
Unit 20.05 Square 9 Red,255,LOR,32,5,501,,
Unit 20.06 Square 10 Red,255,LOR,32,6,502,,
Unit 20.07 Square 11 Red,255,LOR,32,7,503,,
Unit 20.08 Square 8 Blue,16711680,LOR,32,8,504,,
Unit 20.09 Square 9 Blue,16711680,LOR,32,9,505,,
Unit 20.10 Square 10 Blue,16711680,LOR,32,10,506,,
Unit 20.11 Square 11 Blue,16711680,LOR,32,11,507,,
20.12 Square 8 Green,32768,LOR,32,12,508,,
20.13 Square 9 Green,32768,LOR,32,13,509,,
20.14 Square 10 Green,32768,LOR,32,14,510,,
20.15 Square 11 Green,32768,LOR,32,15,511,,
Unit 20.16  100 Strobes Squares,16777215,LOR,32,16,512,,
Unit 21.01 Heart Red 1,255,LOR,33,1,513,,
Unit 21.02 Heart Red 2,255,LOR,33,2,514,,
Unit 21.03 Heart Red 3,255,LOR,33,3,515,,
Unit 21.04 Heart Red 4,255,LOR,33,4,516,,
Unit 21.05 Heart Red 5,255,LOR,33,5,517,,
Unit 21.06 Heart Red 6,255,LOR,33,6,518,,
Unit 21.07 Heart Red 7,255,LOR,33,7,519,,
Unit 21.08 Heart Red 8,255,LOR,33,8,520,,
Unit 21.09 Heart White 1,16777215,LOR,33,9,521,,
Unit 21.10 Heart White 2,16777215,LOR,33,10,522,,
Unit 21.11 Heart White 3,16777215,LOR,33,11,523,,
Unit 21.12 Heart White 4,16777215,LOR,33,12,524,,
Unit 21.13 Heart White 5,16777215,LOR,33,13,525,,
Unit 21.14 Heart White 6,16777215,LOR,33,14,526,,
Unit 21.15 Heart White 7,16777215,LOR,33,15,527,,
Unit 21.16 Heart White 8,16777215,LOR,33,16,528,,
Unit 22.01 Square 13 White,16777215,LOR,34,1,529,,
Unit 22.02 Square 14 White,16777215,LOR,34,2,530,,
Unit 22.03 Square 15 White,16777215,LOR,34,3,531,,
Unit 22.04 Square 12 Red,255,LOR,34,4,532,,
Unit 22.05 Square 13 Red,255,LOR,34,5,533,,
Unit 22.06 Square 14 Red,255,LOR,34,6,534,,
Unit 22.07 Square 15 Red,255,LOR,34,7,535,,
Unit 22.08 Square 12 Blue,16711680,LOR,34,8,536,,
Unit 22.09 Square 13 Blue,16711680,LOR,34,9,537,,
Unit 22.10 Square 14 Blue,16711680,LOR,34,10,538,,
Unit 22.11 Square 15 Blue,16711680,LOR,34,11,539,,
22.12 Square 12 Green,32768,LOR,34,12,540,,
22.13 Square 13 Green,32768,LOR,34,13,541,,
22.14 Square 14 Green,32768,LOR,34,14,542,,
22.15 Square 15 Green,32768,LOR,34,15,543,,
Unit 23.01 Square 16 White,16777215,LOR,35,1,544,,
Unit 23.02 Square 17 White,16777215,LOR,35,2,545,,
Unit 23.03 Square 18 White,16777215,LOR,35,3,546,,
Unit 23.04 Square 19 White,16777215,LOR,35,4,547,,
Unit 23.05 Square 16 Red,255,LOR,35,5,548,,
Unit 23.06 Square 17 Red,255,LOR,35,6,549,,
Unit  23.07 Square 18 Red,255,LOR,35,7,550,,
Unit 23.08 Square 19 Red,255,LOR,35,8,551,,
Unit 23.09 Square 16 Blue,16711680,LOR,35,9,552,,
Unit 23.10 Square 17 Blue,16711680,LOR,35,10,553,,
Unit 23.11 Square 18 Blue,16711680,LOR,35,11,554,,
Unit 23.12 Square 19 Blue,16711680,LOR,35,12,555,,
23.13 Square 16 Green,32768,LOR,35,13,556,,
23.14 Square 17 Green,32768,LOR,35,14,557,,
23.15 Square 18 Green,32768,LOR,35,15,558,,
23.16 Square 19 Green,32768,LOR,35,16,559,,
Unit 24.1 Green 3L,65280,LOR,36,1,560,,
Unit 24.2 Green 2L,65280,LOR,36,2,561,,
Unit 24.3 Green 1L,65280,LOR,36,3,562,,
Unit 24.4 Red 1,255,LOR,36,4,563,,
Unit 24.5 Red 2A,255,LOR,36,5,564,,
Unit 24.6 Red 2B,255,LOR,36,6,565,,
Unit 24.7 Red 3A,255,LOR,36,7,566,,
Unit 24.8 Red 3B,255,LOR,36,8,567,,
Unit 24.9 Red 4A,255,LOR,36,9,568,,
Unit 24.10 Red 4B,255,LOR,36,10,569,,
Unit 24.11 Blue 1,16711680,LOR,36,11,570,,
Unit 24.12 Blue 2A,16711680,LOR,36,12,571,,
Unit 24.13 Blue 2B,16711680,LOR,36,13,572,,
Unit 24.14 Blue 3A,16711680,LOR,36,14,573,,
Unit 24.15 Blue 3B,16711680,LOR,36,15,574,,
Unit 24.16 Blue 8B,16711680,LOR,36,16,575,,
Unit 25.1 Green 3B,65280,LOR,37,1,576,,
Unit 25.2 Green 4B,65280,LOR,37,2,577,,
Unit 25.3 Green 5B,65280,LOR,37,3,578,,
Unit 25.4 Green 6L,65280,LOR,37,4,579,,
Unit 25.5 Green 5L,65280,LOR,37,5,580,,
Unit 25.6 Green 4L,65280,LOR,37,6,581,,
Unit 25.7 Red 7B,255,LOR,37,7,582,,
Unit 25.8 Red 6A,255,LOR,37,8,583,,
Unit 25.9 Red 6B,255,LOR,37,9,584,,
Unit 25.10 Red 5,255,LOR,37,10,585,,
Unit 25.11 Blue 7A,16711680,LOR,37,11,586,,
Unit 25.12 Blue 7B,16711680,LOR,37,12,587,,
Unit 25.13 Blue 6A,16711680,LOR,37,13,588,,
Unit 25.14 Blue 6B,16711680,LOR,37,14,589,,
Unit 25.15 Blue 5,16711680,LOR,37,15,590,,
Unit 25.16 70 Green Triangle Strobes,65280,LOR,37,16,591,,
Unit 26.1 Green 1R,65280,LOR,38,1,592,,
Unit 26.2 Green 2R,65280,LOR,38,2,593,,
Unit 26.3 Green 3R,65280,LOR,38,3,594,,
Unit 26.4 Green 4R,65280,LOR,38,4,595,,
Unit 26.5 Green 5R,65280,LOR,38,5,596,,
Unit 26.6 Green 6R,65280,LOR,38,6,597,,
Unit 26.7 Green 1B,65280,LOR,38,7,598,,
Unit 26.8 Green 2B,65280,LOR,38,8,599,,
Unit 26.9 Red 8A,255,LOR,38,9,600,,
Unit 26.10 Red 8B,255,LOR,38,10,601,,
Unit 26.11 Red 7A,255,LOR,38,11,602,,
Unit 26.12 Red 9,255,LOR,38,12,603,,
Unit 26.13 Blue 4A,16711680,LOR,38,13,604,,
Unit 26.14 Blue 4B,16711680,LOR,38,14,605,,
Unit 26.15 Blue 8A,16711680,LOR,38,15,606,,
Unit 26.16 Blue 9,16711680,LOR,38,16,607,,
Unit 27.1 Green Star 1,4227072,LOR,39,1,608,,
Unit 27.2 Green Star 2,4227072,LOR,39,2,609,,
Unit 27.3 Green Star 3,32768,LOR,39,3,610,,
Unit 27.4 Green Star 4,4227072,LOR,39,4,611,,
Unit 27.5 Green Star 5,4227072,LOR,39,5,612,,
Unit 27.6 Green Star 6,4227072,LOR,39,6,613,,
Unit 27.7 Comet Head,65535,LOR,39,7,614,,
Unit 27.8 Comet Tail 1,4227327,LOR,39,8,615,,
Unit 27.9 Comet Tail 2,4227327,LOR,39,9,616,,
Unit 27.10 Comet Tail 3,4227327,LOR,39,10,617,,
Unit 27.11 Comet Tail 4,4227327,LOR,39,11,618,,
Unit 27.12 Comet Tail 5,33023,LOR,39,12,619,,
Unit 27.13 Old Mixed Star Points + Circle,33023,LOR,39,13,620,,
Unit 27.14 Mixed Channel    2 amps,33023,LOR,39,14,621,,
Unit 27.15,12615744,LOR,39,15,622,,
Unit 27.16,12615744,LOR,39,16,623,,
Unit 28.1  Blue Flood - 8     4.17a,16744448,LOR,40,1,624,,
Unit 28.2 Blue Flood - 9     4.17a,16744448,LOR,40,2,625,,
Unit 28.3 Blue Flood - 10    4.17a,16744448,LOR,40,3,626,,
Unit 28.4 Bridge Blue,16744448,LOR,40,4,627,,
Unit 28.5  Bridge Red,255,LOR,40,5,628,,
Unit 28.6  Bridge Yellow,65535,LOR,40,6,629,,
Unit 28.7  Heart Red,255,LOR,40,7,630,,
Unit 28.8 Heart Green,32768,LOR,40,8,631,,
Unit 28.9 Blue Flood - 6      4.17a,16744448,LOR,40,9,632,,
Unit 28.10 Blue Flood - 7   4.17a,16744448,LOR,40,10,633,,
Unit 28.11 Bridge Green,32768,LOR,40,11,634,,
Unit 28.12  Bridge White,16777215,LOR,40,12,635,,
Unit 28.13 Heart Blue,16744448,LOR,40,13,636,,
Unit 28.14  5 led 15 watt floods 1a,16777215,LOR,40,14,637,,
"Unit 28.15 5, led 15 watt floods 1a",16777215,LOR,40,15,638,,
Unit 28.16 BLUE South Pond  1.0a BLUE,16711680,LOR,40,16,639,,
Unit 29.1 Blue Flood - 3    4.17a,16744448,LOR,41,1,640,,
Unit 29.2 Blue Flood - 4    4.17a,16744448,LOR,41,2,641,,
Unit 29.3 Blue Flood - 5      4.17a,16744448,LOR,41,3,642,,
Unit 29.4  Moon Crescent,8454143,LOR,41,4,643,,
Unit 29.5  Moon 2,8454143,LOR,41,5,644,,
Unit 29.6  Moon 3,8454143,LOR,41,6,645,,
Unit 29.7 Moon 4,8454143,LOR,41,7,646,,
Unit 29.8  Moon 5,8454143,LOR,41,8,647,,
Unit 29.9 Blue Flood - 1     4.17a,16744448,LOR,41,9,648,,
Unit 29.10 Blue Flood - 2    4.17a,16744448,LOR,41,10,649,,
Unit 29.11 Moon 6,8454143,LOR,41,11,650,,
Unit 29.12  Moon 7,8454143,LOR,41,12,651,,
Unit 29.13  Moon 8,8454143,LOR,41,13,652,,
Unit 29.14  Moon 9,8454143,LOR,41,14,653,,
Unit 29.15   Moon 10,8454143,LOR,41,15,654,,
Unit 29.16  Moon 11,8454143,LOR,41,16,655,,
Unit 2A.1 Rainbow Red 1,255,LOR,42,1,656,,
Unit 2A.2 Rainbow Red 2,255,LOR,42,2,657,,
Unit 2A.3 Rainbow Red 3,255,LOR,42,3,658,,
Unit 2A.4 Rainbow Red 4,255,LOR,42,4,659,,
Unit 2A.5 Rainbow Gold 1,65535,LOR,42,5,660,,
Unit 2A.6 Rainbow Gold 2,65535,LOR,42,6,661,,
Unit 2A.7 Rainbow Gold 3,65535,LOR,42,7,662,,
Unit 2A.8 Rainbow Gold 4,65535,LOR,42,8,663,,
Unit 2A.9 Rainbow Green 1,32768,LOR,42,9,664,,
Unit 2A.10 Rainbow Green 2,32768,LOR,42,10,665,,
Unit 2A.11 Rainbow Green 3,32768,LOR,42,11,666,,
Unit 2A.12 Rainbow Blue 1,16744448,LOR,42,12,667,,
Unit 2A.13 Rainbow Blue 2,16744448,LOR,42,13,668,,
Unit 2A.14 Rainbow Blue 3,16744448,LOR,42,14,669,,
Unit 2A.15 Rainbow Purple 1,12615808,LOR,42,15,670,,
Unit 2A.16 Rainbow Purple 2,12615808,LOR,42,16,671,,
Unit 2B.1 Rainbow Red 5,255,LOR,43,1,672,,
Unit 2B.2 Rainbow Red 6,255,LOR,43,2,673,,
Unit 2B.3 Rainbow Red 7,255,LOR,43,3,674,,
Unit 2B.4 Rainbow Red 8,255,LOR,43,4,675,,
Unit 2B.5 Rainbow Gold 5,65535,LOR,43,5,676,,
Unit 2B.6 Rainbow Gold 6,65535,LOR,43,6,677,,
Unit 2B.7 Rainbow Gold 7,65535,LOR,43,7,678,,
Unit 2B.8 Rainbow Gold 8,65535,LOR,43,8,679,,
Unit 2B.9 Rainbow Green 4,32768,LOR,43,9,680,,
Unit 2B.10 Rainbow Green 5,32768,LOR,43,10,681,,
Unit 2B.11 Rainbow Green 6,32768,LOR,43,11,682,,
Unit 2B.12 Rainbow Blue 4,16744448,LOR,43,12,683,,
Unit 2B.13 Rainbow Blue 5,16744448,LOR,43,13,684,,
Unit 2B.14 Rainbow Blue 6,16744448,LOR,43,14,685,,
Unit 2B.15 Rainbow Purple 3,12615808,LOR,43,15,686,,
Unit 2B.16 Rainbow Purple 4,12615808,LOR,43,16,687,,
Unit 2C.1 Spiral Green 13,32768,LOR,44,1,688,,
Unit 2C.2 Spiral Green 14,32768,LOR,44,2,689,,
Unit 2C.3 Spiral Green 15,32768,LOR,44,3,690,,
Unit 2C.4 Spiral Green 16,32768,LOR,44,4,691,,
Unit 2C.5 Spiral Blue 13,16711680,LOR,44,5,692,,
Unit 2C.6 Spiral Blue 14,16711680,LOR,44,6,693,,
Unit 2C.7 Spiral Blue 15,16711680,LOR,44,7,694,,
Unit 2C.8 Spiral Blue 16,16711680,LOR,44,8,695,,
Unit 2C.9 Spiral Red 7,255,LOR,44,9,696,,
Unit 2C.10 Spiral Red 8,255,LOR,44,10,697,,
Unit 2C.11 Spiral Gold 7,65535,LOR,44,11,698,,
Unit 2C.12 Spiral Gold 8,65535,LOR,44,12,699,,
Unit 2C.13 Spiral Green 11,32768,LOR,44,13,700,,
Unit 2C.14 Spiral Green 12,32768,LOR,44,14,701,,
Unit 2C.15 Spiral Blue 11,16711680,LOR,44,15,702,,
Unit 2C.16 Spiral Blue 12,16711680,LOR,44,16,703,,
Unit 2D.1 Spiral Blue 1,16711680,LOR,45,1,704,,
Unit 2D.2 Spiral Blue 2,16711680,LOR,45,2,705,,
Unit 2D.3 Spiral Blue 3,16711680,LOR,45,3,706,,
Unit 2D.4 Spiral Blue 4,16711680,LOR,45,4,707,,
Unit 2D.5 Spiral Green 1,32768,LOR,45,5,708,,
Unit 2D.6  Spiral Green 2,32768,LOR,45,6,709,,
Unit 2D.7  Spiral Green 3,32768,LOR,45,7,710,,
Unit 2D.8  Spiral Green 4,32768,LOR,45,8,711,,
Unit 2D.9  Spiral Red 1,255,LOR,45,9,712,,
Unit 2D.10 Spiral Red 2,255,LOR,45,10,713,,
Unit 2D.11 Spiral Gold 1,65535,LOR,45,11,714,,
Unit 2D.12 Spiral Gold 2,65535,LOR,45,12,715,,
Unit 2D.13 Spiral Red 5,255,LOR,45,13,716,,
Unit 2D.14 Spiral Red 6,255,LOR,45,14,717,,
Unit 2D.15 Spiral Gold 5,65535,LOR,45,15,718,,
Unit 2D.16 Spiral Gold 6,65535,LOR,45,16,719,,
Unit 2E.1 Spiral Green 9,32768,LOR,46,1,720,,
Unit 2E.2 Spiral Green 10,32768,LOR,46,2,721,,
Unit 2E.3 Spiral Blue 9,16711680,LOR,46,3,722,,
Unit 2E.4 Spiral Blue 10,16711680,LOR,46,4,723,,
Unit 2E.5 Spiral Green 5,32768,LOR,46,5,724,,
Unit 2E.6 Spiral Green 6,32768,LOR,46,6,725,,
Unit 2E.7 Spiral Green 7,32768,LOR,46,7,726,,
Unit 2E.8 Spiral Green 8,32768,LOR,46,8,727,,
Unit 2E.9 Spiral Blue 5,16711680,LOR,46,9,728,,
Unit 2E.10 Spiral Blue 6,16711680,LOR,46,10,729,,
Unit 2E.11 Spiral Blue 7,16711680,LOR,46,11,730,,
Unit 2E.12 Spiral Blue 8,16711680,LOR,46,12,731,,
Unit 2E.13 Spiral Red 3,255,LOR,46,13,732,,
Unit 2E.14 Spiral Red 4,255,LOR,46,14,733,,
Unit 2E.15 Spiral Gold 3,65535,LOR,46,15,734,,
Unit 2E.16 Spiral Gold 4,65535,LOR,46,16,735,,
Unit 2F.1 Green Tree 1,65280,LOR,47,1,736,,
Unit 2F.2 Green Tree 2,65280,LOR,47,2,737,,
Unit 2F.3 Green Tree 3,65280,LOR,47,3,738,,
Unit 2F.4 Green Tree 4,65280,LOR,47,4,739,,
Unit 2F.5 Green Tree 5,65280,LOR,47,5,740,,
Unit 2F.6 Green Tree 6,65280,LOR,47,6,741,,
Unit 2F.7 Green Tree 7,65280,LOR,47,7,742,,
Unit 2F.8 Green Tree 8,65280,LOR,47,8,743,,
Unit 2F.9 Green Tree 9,65280,LOR,47,9,744,,
Unit 2F.10 Green Tree 10,65280,LOR,47,10,745,,
Unit 2F.11 Green Tree 11,65280,LOR,47,11,746,,
Unit 2F.12 Green Tree 12,65280,LOR,47,12,747,,
Unit 2F.13 Green Tree 13,65280,LOR,47,13,748,,
Unit 2F.14 Green Tree 14,65280,LOR,47,14,749,,
Unit 2F.15 Green Tree 15,65280,LOR,47,15,750,,
Unit 2F.16 Blue Icicles,16711680,LOR,47,16,751,,
Unit 30.1 Blue Tree 1,16711680,LOR,48,1,752,,
Unit 30.2 Blue Tree 2,16711680,LOR,48,2,753,,
Unit 30.3 Blue Tree 3,16711680,LOR,48,3,754,,
Unit 30.4 Blue Tree 4,16711680,LOR,48,4,755,,
Unit 30.5 Blue Tree 5,16711680,LOR,48,5,756,,
Unit 30.6 Blue Tree 6,16711680,LOR,48,6,757,,
Unit 30.7 Blue Tree 7,16711680,LOR,48,7,758,,
Unit 30.8 Blue Tree 8,16711680,LOR,48,8,759,,
Unit 30.9 Blue Tree 9,16711680,LOR,48,9,760,,
Unit 30.10 Blue Tree 10,16711680,LOR,48,10,761,,
Unit 30.11 Blue Tree 11,16711680,LOR,48,11,762,,
Unit 30.12 Blue Tree 12,16711680,LOR,48,12,763,,
Unit 30.13 Blue Tree 13,16711680,LOR,48,13,764,,
Unit 30.14 Blue Tree 14,16711680,LOR,48,14,765,,
Unit 30.15 Blue Tree 15,16711680,LOR,48,15,766,,
Unit 30.16 Colored Meteor Lights,33023,LOR,48,16,767,,
Unit 31.1 Gold Tree 1,65535,LOR,49,1,768,,
Unit 31.2 Gold Tree 2,65535,LOR,49,2,769,,
Unit 31.3 Gold Tree 3,65535,LOR,49,3,770,,
Unit 31.4 Gold Tree 4,65535,LOR,49,4,771,,
Unit 31.5 Gold Tree 5,65535,LOR,49,5,772,,
Unit 31.6 Gold Tree 6,65535,LOR,49,6,773,,
Unit 31.7 Gold Tree 7,65535,LOR,49,7,774,,
Unit 31.8 Gold Tree 8,65535,LOR,49,8,775,,
Unit 31.9 Gold Tree 9,65535,LOR,49,9,776,,
Unit 31.10 Gold Tree 10,65535,LOR,49,10,777,,
Unit 31.11 Gold Tree 11,65535,LOR,49,11,778,,
Unit 31.12 Gold Tree 12,65535,LOR,49,12,779,,
Unit 31.13 Gold Tree 13,65535,LOR,49,13,780,,
Unit 31.14 Gold Tree 14,65535,LOR,49,14,781,,
Unit 31.15 Gold Tree 15,65535,LOR,49,15,782,,
Unit 31.16 Dripping Icicles,16777215,LOR,49,16,783,,
CMB 32 P1   FL1 (R),255,LOR,50,1,784,,
CMB 32 P1   FL1 (G),65280,LOR,50,2,785,,
CMB 32 P1   FL1 (B),16711680,LOR,50,3,786,,
CMB 32 P2   FL2 (R),255,LOR,50,4,787,,
CMB 32 P2   FL2 (G),65280,LOR,50,5,788,,
CMB 32 P2   FL2 (B),16711680,LOR,50,6,789,,
CMB 32 P3   FL3 (R),255,LOR,50,7,790,,
CMB 32 P3   FL3 (G),65280,LOR,50,8,791,,
CMB 32 P3   FL3 (B),16711680,LOR,50,9,792,,
CMB 32 P4   FL4 (R),255,LOR,50,10,793,,
CMB 32 P4   FL4 (G),65280,LOR,50,11,794,,
CMB 32 P4   FL4 (B),16711680,LOR,50,12,795,,
CMB 32 P5   FL5 (R),255,LOR,50,13,796,,
CMB 32 P5   FL5 (G),65280,LOR,50,14,797,,
CMB 32 P5   FL5 (B),16711680,LOR,50,15,798,,
CMB 32 P6   FL6 (R),255,LOR,50,16,799,,
CMB 32 P6   FL6 (G),65280,LOR,50,17,800,,
CMB 32 P6   FL6 (B),16711680,LOR,50,18,801,,
CMB 32 P7   FL7 (R),255,LOR,50,19,802,,
CMB 32 P7   FL7 (G),65280,LOR,50,20,803,,
CMB 32 P7   FL7 (B),16711680,LOR,50,21,804,,
CMB 32  P8   FL8 (R),255,LOR,50,22,805,,
CMB 32  P8   FL8 (G),65280,LOR,50,23,806,,
CMB 32  P8   FL8 (B),16711680,LOR,50,24,807,,
CMB 33 P1   FL9 (R),255,LOR,51,1,808,,
CMB 33 P1   FL9 (G),65280,LOR,51,2,809,,
CMB 33 P1   FL9 (B),16711680,LOR,51,3,810,,
