name,color,deviceType,unit,circuit,savedIndex,,
Unit 06.11 Green FL 2  4.17a,32768,LOR,6,11,91,,
Unit 06.12 JCP L-3  2.4a,10223615,LOR,6,12,92,,
Unit 06.13 LR Tree Mix 1  1.65a,33023,LOR,6,13,93,,
Unit 06.14 LR Tree Mix 2  1.65a,33023,LOR,6,14,94,,
Unit 06.15 LR Tree Mix 3  1.65a,33023,LOR,6,15,95,,
Unit 06.16 Blue Ornament+Trees  1.3a  BLUE,16711680,LOR,6,16,96,,
"Unit 07.01 Halogen 13,14 8.3a",8454143,LOR,7,1,97,,
Unit 07.02 Gold FL 2  4.17a,50886,LOR,7,2,98,,
Unit 07.03 Red FL 3  4.17a,255,LOR,7,3,99,,
Unit 07.04 Green FL 3  4.17a,32768,LOR,7,4,100,,
Unit 07.05 South Pond  4.5a MIXED,33023,LOR,7,5,101,,
"Unit 07.06 Strobe 13,14,15  1.3a",16777215,LOR,7,6,102,,
Unit 07.07 GREEN LR Tree  1.65a  GREEN,32768,LOR,7,7,103,,
Unit 07.08 7ft tree 1  2.0a,33023,LOR,7,8,104,,
Unit 07.09 7ft tree 2  2.0a,33023,LOR,7,9,105,,
Unit 07.10 7ft tree 3  2.0a,33023,LOR,7,10,106,,
Unit 07.11 7ft tree 4  2.0a,33023,LOR,7,11,107,,
Unit 07.12 Red FL 4  4.17a,255,LOR,7,12,108,,
Unit 07.13 Green FL 4  4.17a,32768,LOR,7,13,109,,
"Unit 07.14  P/B, Tree by road  6.2a WHITE",15724527,LOR,7,14,110,,
Unit 07.15 Duck House Halogen 4.3a,8454143,LOR,7,15,111,,
"Unit 07.16 Red F/L 4, 5, 6   2.5a",255,LOR,7,16,112,,
Unit 08.01 FT clear 1,8454143,LOR,8,1,113,,
Unit 08.02 FT clear 2,8454143,LOR,8,2,114,,
Unit 08.03 FT clear 3,8454143,LOR,8,3,115,,
Unit 08.04 FT clear 4,8454143,LOR,8,4,116,,
Unit 08.05 FT clear 5,8454143,LOR,8,5,117,,
Unit 08.06 FT LED 6 W,16777215,LOR,8,6,118,,
Unit 08.07 FT LED 7 W,16777215,LOR,8,7,119,,
Unit 08.08 FT LED 8 W,16777215,LOR,8,8,120,,
Unit 08.09 FT LED 9 W,16777215,LOR,8,9,121,,
Unit 08.10 FT LED 10 W,16777215,LOR,8,10,122,,
